[2026-06-15 15:07:03] === overnight driver START ===
[2026-06-15 15:18:50] maestro   MAESTRO_GAIN [2P vs comet_reaper] 0.0=43%  0.1=46%  0.25=61%  0.5=61% | best=0.25 (61%, n=28)  <-- BEATS control
[2026-06-15 15:27:46] helmsman  HELMSMAN_HORIZON_MULT [2P vs comet_reaper] 1.0=64%  1.15=46%  1.3=32%  1.5=14% | best=1.0 (64%, n=28)  <-- BEATS control
[2026-06-15 15:45:52] kingmaker KINGMAKER_LEADER_WEIGHT [focal-4P vs 3x comet_reaper] 0.0=25%  0.1=29%  0.25=11%  0.5=7% | best=0.1 (29%, n=28)
[2026-06-15 15:56:45] precog    PRECOG_OPP_STRENGTH [2P vs comet_reaper] 0.0=54%  0.1=50%  0.25=57%  0.5=50% | best=0.25 (57%, n=28)  <-- BEATS control
[2026-06-15 15:56:47] self-play: launched chunk (init=selfplay_overnight.pt)
[2026-06-15 16:07:58] maestro   MAESTRO_GAIN [2P vs comet_reaper] 0.0=50%  0.1=50%  0.25=50%  0.5=71% | best=0.5 (71%, n=28)  <-- BEATS control
[2026-06-15 16:09:31] === overnight driver START ===
[2026-06-15 16:21:34] maestro   MAESTRO_GAIN [2P vs comet_reaper] 0.0=43%  0.1=46%  0.25=61%  0.5=61% | best=0.25 (61%, n=28)  <-- BEATS control
[2026-06-15 16:30:36] helmsman  HELMSMAN_HORIZON_MULT [2P vs comet_reaper] 1.0=64%  1.15=46%  1.3=32%  1.5=14% | best=1.0 (64%, n=28)  <-- BEATS control
[2026-06-15 17:04:13] === overnight driver START ===
[2026-06-15 17:30:37] === overnight driver START ===
[2026-06-15 17:33:09] maestro   MAESTRO_GAIN [2P vs comet_reaper] 0.0=64%  0.1=46%  0.25=61%  0.5=46% | best=0.0 (64%, n=28)  <-- BEATS control
[2026-06-15 17:35:11] helmsman  HELMSMAN_HORIZON_MULT [2P vs comet_reaper] 1.0=50%  1.15=46%  1.3=29%  1.5=11% | best=1.0 (50%, n=28)
[2026-06-15 17:39:05] kingmaker KINGMAKER_LEADER_WEIGHT [focal-4P vs 3x comet_reaper] 0.0=25%  0.1=29%  0.25=11%  0.5=7% | best=0.1 (29%, n=28)
[2026-06-15 17:41:28] oracle    ORACLE_BIAS [2P vs comet_reaper] 0.0=46%  2.0=54%  5.0=25%  10.0=14% | best=2.0 (54%, n=28)  <-- BEATS control
[2026-06-15 17:43:54] precog    PRECOG_OPP_STRENGTH [2P vs comet_reaper] 0.0=50%  0.1=54%  0.25=50%  0.5=54% | best=0.1 (54%, n=28)  <-- BEATS control
[2026-06-15 17:46:35] maestro   MAESTRO_GAIN [2P vs comet_reaper] 0.0=36%  0.1=54%  0.25=36%  0.5=54% | best=0.1 (54%, n=28)  <-- BEATS control
[2026-06-15 17:48:47] helmsman  HELMSMAN_HORIZON_MULT [2P vs comet_reaper] 1.0=57%  1.15=39%  1.3=32%  1.5=25% | best=1.0 (57%, n=28)  <-- BEATS control
[2026-06-15 17:52:36] kingmaker KINGMAKER_LEADER_WEIGHT [focal-4P vs 3x comet_reaper] 0.0=29%  0.1=32%  0.25=21%  0.5=14% | best=0.1 (32%, n=28)
[2026-06-15 17:54:41] oracle    ORACLE_BIAS [2P vs comet_reaper] 0.0=50%  2.0=36%  5.0=21%  10.0=21% | best=0.0 (50%, n=28)
[2026-06-15 17:57:00] precog    PRECOG_OPP_STRENGTH [2P vs comet_reaper] 0.0=54%  0.1=46%  0.25=54%  0.5=43% | best=0.0 (54%, n=28)  <-- BEATS control
[2026-06-15 17:59:19] maestro   MAESTRO_GAIN [2P vs comet_reaper] 0.0=46%  0.1=61%  0.25=46%  0.5=36% | best=0.1 (61%, n=28)  <-- BEATS control
[2026-06-15 18:01:14] helmsman  HELMSMAN_HORIZON_MULT [2P vs comet_reaper] 1.0=43%  1.15=25%  1.3=39%  1.5=18% | best=1.0 (43%, n=28)
[2026-06-15 18:04:50] kingmaker KINGMAKER_LEADER_WEIGHT [focal-4P vs 3x comet_reaper] 0.0=21%  0.1=21%  0.25=14%  0.5=21% | best=0.0 (21%, n=28)
[2026-06-15 18:06:49] oracle    ORACLE_BIAS [2P vs comet_reaper] 0.0=61%  2.0=46%  5.0=29%  10.0=36% | best=0.0 (61%, n=28)  <-- BEATS control
[2026-06-15 18:09:06] precog    PRECOG_OPP_STRENGTH [2P vs comet_reaper] 0.0=50%  0.1=61%  0.25=46%  0.5=36% | best=0.1 (61%, n=28)  <-- BEATS control
[2026-06-15 18:11:28] maestro   MAESTRO_GAIN [2P vs comet_reaper] 0.0=54%  0.1=36%  0.25=54%  0.5=54% | best=0.0 (54%, n=28)  <-- BEATS control
[2026-06-15 18:11:31] self-play: launched chunk (init=selfplay_overnight.pt)
[2026-06-15 18:13:28] helmsman  HELMSMAN_HORIZON_MULT [2P vs comet_reaper] 1.0=50%  1.15=29%  1.3=25%  1.5=11% | best=1.0 (50%, n=28)
[2026-06-15 18:17:06] kingmaker KINGMAKER_LEADER_WEIGHT [focal-4P vs 3x comet_reaper] 0.0=32%  0.1=18%  0.25=21%  0.5=11% | best=0.0 (32%, n=28)
[2026-06-15 18:19:02] oracle    ORACLE_BIAS [2P vs comet_reaper] 0.0=36%  2.0=54%  5.0=29%  10.0=39% | best=2.0 (54%, n=28)  <-- BEATS control
[2026-06-15 18:21:22] precog    PRECOG_OPP_STRENGTH [2P vs comet_reaper] 0.0=50%  0.1=50%  0.25=50%  0.5=43% | best=0.0 (50%, n=28)
[2026-06-15 18:23:46] maestro   MAESTRO_GAIN [2P vs comet_reaper] 0.0=61%  0.1=46%  0.25=36%  0.5=54% | best=0.0 (61%, n=28)  <-- BEATS control
[2026-06-15 18:26:01] helmsman  HELMSMAN_HORIZON_MULT [2P vs comet_reaper] 1.0=50%  1.15=46%  1.3=21%  1.5=25% | best=1.0 (50%, n=28)
